,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,North Seattle,47.6607729,-122.29149712901399,QFC,47.6622158,-122.2964313,Supermarket
1,North Seattle,47.6607729,-122.29149712901399,China Village,47.661396092322974,-122.2914368924599,Chinese Restaurant
2,North Seattle,47.6607729,-122.29149712901399,T-Mobile,47.661474,-122.29608,Mobile Phone Shop
3,North Seattle,47.6607729,-122.29149712901399,Burke-Gilman Brewing Company,47.661307669672915,-122.28806650288107,Brewery
4,North Seattle,47.6607729,-122.29149712901399,General Porpoise Coffee & Donuts,47.66201,-122.293218,Donut Shop
5,North Seattle,47.6607729,-122.29149712901399,The Wax Bar,47.66088503029592,-122.28727067975626,Salon / Barbershop
6,North Seattle,47.6607729,-122.29149712901399,Yesler Swamp,47.65811221694261,-122.28840105192494,Park
7,North Seattle,47.6607729,-122.29149712901399,Golf Driving Range - University of Washington,47.65884796107253,-122.29722557744265,Golf Driving Range
8,North Seattle,47.6607729,-122.29149712901399,The Seattle Gym,47.661272629779496,-122.28664190016119,Gym
9,North Seattle,47.6607729,-122.29149712901399,Einstein Bros Bagels,47.6621285,-122.2968045,Bagel Shop
10,North Seattle,47.6607729,-122.29149712901399,Jak's Grill,47.66107155849414,-122.28807290733678,Steakhouse
11,North Seattle,47.6607729,-122.29149712901399,Varlamos Pizzeria,47.66096159075627,-122.28844687342644,Pizza Place
12,North Seattle,47.6607729,-122.29149712901399,Center for Urban Horticulture,47.657977857264555,-122.29023737007789,College Science Building
13,North Seattle,47.6607729,-122.29149712901399,Marlai Thai Cuisine,47.66120534440304,-122.28730764077184,Thai Restaurant
14,North Seattle,47.6607729,-122.29149712901399,Baskin-Robbins,47.66133590573089,-122.29200418256491,Ice Cream Shop
15,North Seattle,47.6607729,-122.29149712901399,Burgermaster,47.66156131593227,-122.29395243539001,Burger Joint
16,Broadview,47.7223199,-122.3604067,Redbox,47.7196,-122.355579,Video Store
17,Broadview,47.7223199,-122.3604067,Cheese Wizards,47.71960501974053,-122.35613177993741,Food Truck
18,Broadview,47.7223199,-122.3604067,Broadview Tap House,47.719336530124934,-122.35605061054231,Beer Bar
19,Broadview,47.7223199,-122.3604067,Wicked Good Grinders,47.71951413298983,-122.35616485869586,Food Truck
20,Broadview,47.7223199,-122.3604067,Chada Thai,47.71966349876733,-122.35511390944248,Thai Restaurant
21,Broadview,47.7223199,-122.3604067,Domino's Pizza,47.71994161700571,-122.35508824994213,Pizza Place
22,Broadview,47.7223199,-122.3604067,Ichi Roll Teriyaki,47.719686911675346,-122.35506623717754,Sushi Restaurant
23,Broadview,47.7223199,-122.3604067,7-Eleven,47.7199406481385,-122.355228513479,Convenience Store
24,Broadview,47.7223199,-122.3604067,Armadillo Consignment,47.7191873736518,-122.35574182019732,Furniture / Home Store
25,Broadview,47.7223199,-122.3604067,The Furniture Guy,47.71936189686411,-122.35565561471223,Antique Shop
26,Bitter Lake,47.7262358,-122.3487639,Hobby Lobby,47.724949,-122.343207,Fabric Shop
27,Bitter Lake,47.7262358,-122.3487639,HK Dim Sum,47.72448921435596,-122.34388757049267,Dim Sum Restaurant
28,Bitter Lake,47.7262358,-122.3487639,Chick-fil-A,47.72256,-122.34533,Fast Food Restaurant
29,Bitter Lake,47.7262358,-122.3487639,Rain Cafe,47.724807658004586,-122.34385361648171,Café
30,Bitter Lake,47.7262358,-122.3487639,Qian Noodles,47.727029561909454,-122.34402756766045,Noodle House
31,Bitter Lake,47.7262358,-122.3487639,LA Fitness,47.72622097816073,-122.34335548155298,Gym / Fitness Center
32,Bitter Lake,47.7262358,-122.3487639,PetSmart,47.7242617,-122.3430347,Pet Store
33,Bitter Lake,47.7262358,-122.3487639,Victoria's Bridal Couture,47.72291331,-122.34587417,Boutique
34,Bitter Lake,47.7262358,-122.3487639,T-Mobile,47.72621620029837,-122.34462384000835,Mobile Phone Shop
35,Bitter Lake,47.7262358,-122.3487639,Starbucks,47.724335,-122.3455,Coffee Shop
36,Bitter Lake,47.7262358,-122.3487639,Planet Fitness,47.725856898674834,-122.3462223072659,Gym / Fitness Center
37,Bitter Lake,47.7262358,-122.3487639,St. Vincent De Paul,47.72857338022771,-122.34554749452283,Thrift / Vintage Store
38,Bitter Lake,47.7262358,-122.3487639,Bitter Lake Playfield,47.724150144535194,-122.34912857972539,Athletics & Sports
39,Bitter Lake,47.7262358,-122.3487639,Ivar's,47.72643841558794,-122.34433355554259,Seafood Restaurant
40,Bitter Lake,47.7262358,-122.3487639,Style Hot Pot,47.723546106794245,-122.34702124660892,Hotpot Restaurant
41,Bitter Lake,47.7262358,-122.3487639,Master Chef,47.72471552635773,-122.34388700974111,Chinese Restaurant
42,Bitter Lake,47.7262358,-122.3487639,kiki bakery,47.72457207668548,-122.34395597986412,Bakery
43,Bitter Lake,47.7262358,-122.3487639,Aurora Donuts,47.72617868340572,-122.34544765266709,Donut Shop
44,Bitter Lake,47.7262358,-122.3487639,Grocery Outlet,47.72492630860149,-122.34653323786773,Grocery Store
45,Bitter Lake,47.7262358,-122.3487639,Burger King,47.724632960225385,-122.34544783830643,Fast Food Restaurant
46,Bitter Lake,47.7262358,-122.3487639,Baskin-Robbins,47.72620729943476,-122.34543748102652,Ice Cream Shop
47,Bitter Lake,47.7262358,-122.3487639,Pop Pop Thai Street Food,47.72610050355962,-122.34449543860076,Thai Restaurant
48,Bitter Lake,47.7262358,-122.3487639,Asian Food Center,47.724759945691204,-122.34369556245315,Grocery Store
49,Bitter Lake,47.7262358,-122.3487639,European Foods,47.72743795,-122.34469631,Eastern European Restaurant
50,Bitter Lake,47.7262358,-122.3487639,JoyFish,47.72472170941351,-122.34594959981227,Szechuan Restaurant
51,Bitter Lake,47.7262358,-122.3487639,Wells Fargo,47.7265003846582,-122.34571605920792,Bank
52,Bitter Lake,47.7262358,-122.3487639,Ross Dress for Less,47.72542935307069,-122.34682687451861,Clothing Store
53,Bitter Lake,47.7262358,-122.3487639,U.S. Bank ATM,47.723831193409126,-122.34380245951635,ATM
