,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,airbnb_near
0,North Seattle,47.6607729,-122.29149712901399,QFC,47.6622158,-122.29643130000001,Supermarket,0
1,North Seattle,47.6607729,-122.29149712901399,China Village,47.66139609232298,-122.29143689245991,Chinese Restaurant,2
2,North Seattle,47.6607729,-122.29149712901399,T-Mobile,47.661474,-122.29608,Mobile Phone Shop,0
3,North Seattle,47.6607729,-122.29149712901399,Burke-Gilman Brewing Company,47.661307669672915,-122.28806650288107,Brewery,2
4,North Seattle,47.6607729,-122.29149712901399,General Porpoise Coffee & Donuts,47.662009999999995,-122.293218,Donut Shop,0
5,North Seattle,47.6607729,-122.29149712901399,The Wax Bar,47.66088503029592,-122.28727067975626,Salon / Barbershop,1
6,North Seattle,47.6607729,-122.29149712901399,Yesler Swamp,47.658112216942605,-122.28840105192494,Park,0
7,North Seattle,47.6607729,-122.29149712901399,Golf Driving Range - University of Washington,47.65884796107253,-122.29722557744265,Golf Driving Range,0
8,North Seattle,47.6607729,-122.29149712901399,The Seattle Gym,47.6612726297795,-122.28664190016121,Gym,0
9,North Seattle,47.6607729,-122.29149712901399,Einstein Bros Bagels,47.662128499999994,-122.2968045,Bagel Shop,0
10,North Seattle,47.6607729,-122.29149712901399,Jak's Grill,47.661071558494136,-122.28807290733678,Steakhouse,2
11,North Seattle,47.6607729,-122.29149712901399,Varlamos Pizzeria,47.66096159075627,-122.28844687342644,Pizza Place,2
12,North Seattle,47.6607729,-122.29149712901399,Center for Urban Horticulture,47.65797785726457,-122.29023737007788,College Science Building,0
13,North Seattle,47.6607729,-122.29149712901399,Marlai Thai Cuisine,47.66120534440304,-122.28730764077184,Thai Restaurant,2
14,North Seattle,47.6607729,-122.29149712901399,Baskin-Robbins,47.66133590573089,-122.29200418256492,Ice Cream Shop,1
15,North Seattle,47.6607729,-122.29149712901399,Burgermaster,47.661561315932275,-122.29395243539,Burger Joint,0
16,Broadview,47.722319899999995,-122.3604067,Redbox,47.7196,-122.355579,Video Store,1
17,Broadview,47.722319899999995,-122.3604067,Cheese Wizards,47.719605019740534,-122.3561317799374,Food Truck,1
18,Broadview,47.722319899999995,-122.3604067,Broadview Tap House,47.719336530124934,-122.35605061054231,Beer Bar,1
19,Broadview,47.722319899999995,-122.3604067,Wicked Good Grinders,47.71951413298983,-122.35616485869585,Food Truck,1
20,Broadview,47.722319899999995,-122.3604067,Chada Thai,47.719663498767325,-122.35511390944248,Thai Restaurant,1
21,Broadview,47.722319899999995,-122.3604067,Domino's Pizza,47.71994161700571,-122.35508824994213,Pizza Place,1
22,Broadview,47.722319899999995,-122.3604067,Ichi Roll Teriyaki,47.719686911675346,-122.35506623717754,Sushi Restaurant,1
23,Broadview,47.722319899999995,-122.3604067,7-Eleven,47.719940648138504,-122.355228513479,Convenience Store,1
24,Broadview,47.722319899999995,-122.3604067,Armadillo Consignment,47.7191873736518,-122.35574182019731,Furniture / Home Store,1
25,Broadview,47.722319899999995,-122.3604067,The Furniture Guy,47.71936189686411,-122.35565561471223,Antique Shop,1
26,Bitter Lake,47.7262358,-122.3487639,Hobby Lobby,47.724949,-122.343207,Fabric Shop,0
27,Bitter Lake,47.7262358,-122.3487639,HK Dim Sum,47.72448921435596,-122.34388757049268,Dim Sum Restaurant,0
28,Bitter Lake,47.7262358,-122.3487639,Chick-fil-A,47.722559999999994,-122.34533,Fast Food Restaurant,0
29,Bitter Lake,47.7262358,-122.3487639,Rain Cafe,47.72480765800458,-122.34385361648172,Café,0
30,Bitter Lake,47.7262358,-122.3487639,Qian Noodles,47.727029561909454,-122.34402756766045,Noodle House,0
